"Timestamp","DOI","IP identifier","User identifier","Country according to GeoIP","City according to GeoIP","Latitude","Longitude"
"2017-08-21 21:48:54","10.1093/beheco/arx008",7898046,30508733,"Canada","Squamish","49.7016339","-123.1558121"
"2017-07-17 00:42:22","10.1002/14651858.CD003392.pub2",8063556,21800071,"Canada","Kirkland","45.4560415","-73.8623337"
"2017-07-06 03:37:55","10.1007/s11191-013-9647-9",9230743,13931938,"Canada","Toronto","43.653226","-79.3831843"
"2017-03-26 03:00:42","10.2307/1547968",4587502,6727298,"Canada","Ottawa","45.4215296","-75.6971931"
"2017-05-03 10:23:52","10.1021/jp809992g",5994600,9290440,"Canada","Toronto","43.653226","-79.3831843"
"2017-01-31 20:55:10","10.1006/gcen.1994.1160",1744970,2556340,"Canada","Moncton","46.0878165","-64.7782313"
"2017-05-18 02:42:09","10.1002/dap.30253",2673051,11288724,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-02 11:33:03","10.1021/la5004484",6039317,9169339,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 19:52:23","10.1002/anie.201605430",1953136,9355044,"Canada","Ajax","43.8508553","-79.0203732"
"2017-05-16 17:58:15","10.1016/0378-7753(93)01835-6",3146979,4572853,"Canada","Trois-Rivières","46.3546803","-72.5837866"
"2017-05-03 19:26:52","10.1002/anie.201605430",5995278,9352017,"Canada","Toronto","43.653226","-79.3831843"
"2017-08-09 18:05:20","10.1038/ni.2032",11083834,11946219,"Canada","Toronto","43.653226","-79.3831843"
"2017-08-24 16:09:54","10.1038/ni.2032",5995383,28848987,"Canada","Saint-Quentin","47.5119159","-67.3921287"
"2017-05-03 14:51:16","10.1021/jp809992g",1953136,9321337,"Canada","Ajax","43.8508553","-79.0203732"
"2017-06-07 01:45:34","10.1007/s11191-013-9647-9",8016991,13931938,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 10:10:20","10.1021/jp809992g",5996253,9288825,"Canada","Toronto","43.653226","-79.3831843"
"2017-07-27 02:12:18","10.1002/14651858.CD003392.pub2",8063556,24332482,"Canada","Kirkland","45.4560415","-73.8623337"
"2017-07-15 10:25:08","10.2307/3517003",3661,14528776,"Canada","Richmond","49.1665898","-123.133569"
"2017-05-20 19:08:19","10.1126/science.aaa9092",412822,11648975,"Canada","Beaconsfield","45.4309308","-73.8682835"
"2017-10-01 06:50:47","10.1021/jp051004z",211669,37685655,"Canada","Toronto","43.653226","-79.3831843"
